Date,Basin,LAT,LON,AL,CP,EP,VMAX12,MSLP12,POT12,VMPI12,VGRAD0-6,VGRAD6-12,VMAX36,ONI,logVMAX12,logMSLP12,logPOT12,logVMAX36,logVMPI12
2009-06-01,EP,14.6,-100.8,0.0,0.0,1.0,40.0,998.0,118.0,158.0,0.8333333333333334,0.8333333333333334,60.0,0.28,3.6888794541139363,6.905753276311464,4.770684624465665,4.0943445622221,5.062595033026967
2011-06-01,EP,13.1,-99.0,0.0,0.0,1.0,35.0,1004.0,115.0,150.0,0.8333333333333334,0.8333333333333334,70.0,-0.37,3.5553480614894135,6.911747300251674,4.74493212836325,4.248495242049359,5.0106352940962555
2012-05-01,EP,9.1,-98.7,0.0,0.0,1.0,30.0,1005.0,133.0,163.0,0.8333333333333334,0.0,35.0,-0.17,3.4011973816621555,6.912742820493176,4.890349128221754,3.5553480614894135,5.093750200806762
2013-05-01,EP,13.9,-96.1,0.0,0.0,1.0,40.0,1001.0,122.0,162.0,0.8333333333333334,0.8333333333333334,65.0,-0.27,3.6888794541139363,6.90875477931522,4.804021044733257,4.174387269895637,5.087596335232384
2014-06-01,EP,13.2,-94.1,0.0,0.0,1.0,30.0,1000.0,125.0,155.0,0.8333333333333334,0.0,40.0,0.23,3.4011973816621555,6.907755278982137,4.8283137373023015,3.6888794541139363,5.043425116919247
2015-05-01,EP,12.0,-102.2,0.0,0.0,1.0,30.0,1006.0,143.0,173.0,0.0,0.8333333333333334,45.0,1.02,3.4011973816621555,6.913737350659685,4.962844630259907,3.8066624897703196,5.153291594497779
2016-07-01,EP,14.5,-116.7,0.0,0.0,1.0,30.0,1006.0,98.0,128.0,0.8333333333333334,0.0,45.0,-0.31,3.4011973816621555,6.913737350659685,4.584967478670572,3.8066624897703196,4.852030263919617
2017-05-01,EP,13.8,-97.9,0.0,0.0,1.0,30.0,1004.0,120.0,150.0,0.8333333333333334,0.0,40.0,0.4,3.4011973816621555,6.911747300251674,4.787491742782046,3.6888794541139363,5.0106352940962555
2018-06-01,EP,14.0,-105.4,0.0,0.0,1.0,40.0,1000.0,114.0,154.0,0.8333333333333334,0.8333333333333334,55.0,0.06,3.6888794541139363,6.907755278982137,4.736198448394496,4.007333185232471,5.0369526024136295
2019-06-01,EP,10.4,-108.2,0.0,0.0,1.0,40.0,1003.0,113.0,153.0,0.0,0.8333333333333334,70.0,0.52,3.6888794541139363,6.910750787961936,4.727387818712341,4.248495242049359,5.030437921392435
2021-05-01,EP,11.2,-103.7,0.0,0.0,1.0,30.0,1006.0,131.0,161.0,0.0,0.0,50.0,-0.39,3.4011973816621555,6.913737350659685,4.875197323201151,3.912023005428146,5.081404364984463
2022-06-01,EP,13.6,-102.5,0.0,0.0,1.0,45.0,1000.0,116.0,161.0,0.8333333333333334,0.8333333333333334,75.0,-0.78,3.8066624897703196,6.907755278982137,4.7535901911063645,4.31748811353631,5.081404364984463
1988-07-01,EP,13.3,-104.1,0.0,0.0,1.0,30.0,1007.0,103.0,133.0,0.0,0.0,50.0,-1.3,3.4011973816621555,6.914730892718563,4.634728988229636,3.912023005428146,4.890349128221754
1989-06-01,EP,13.2,-94.9,0.0,0.0,1.0,30.0,1009.0,133.0,163.0,0.8333333333333334,0.0,30.0,-0.4,3.4011973816621555,6.9167150203536085,4.890349128221754,3.4011973816621555,5.093750200806762
1990-06-01,EP,11.6,-110.0,0.0,0.0,1.0,30.0,1008.0,135.0,165.0,0.0,0.8333333333333334,35.0,0.31,3.4011973816621555,6.915723448631314,4.90527477843843,3.5553480614894135,5.10594547390058
1991-06-01,EP,11.4,-95.4,0.0,0.0,1.0,35.0,1005.0,130.0,165.0,0.0,0.8333333333333334,55.0,0.64,3.5553480614894135,6.912742820493176,4.867534450455582,4.007333185232471,5.10594547390058
1994-06-01,EP,11.8,-105.2,0.0,0.0,1.0,35.0,1005.0,121.0,156.0,0.0,0.8333333333333334,75.0,0.41,3.5553480614894135,6.912742820493176,4.795790545596741,4.31748811353631,5.049856007249537
1995-07-01,EP,11.3,-103.2,0.0,0.0,1.0,35.0,1005.0,108.0,143.0,0.0,0.8333333333333334,65.0,-0.24,3.5553480614894135,6.912742820493176,4.68213122712422,4.174387269895637,4.962844630259907
1996-06-01,EP,13.1,-98.7,0.0,0.0,1.0,30.0,1007.0,130.0,160.0,0.0,0.0,50.0,-0.3,3.4011973816621555,6.914730892718563,4.867534450455582,3.912023005428146,5.075173815233827
1998-06-01,EP,8.0,-94.5,0.0,0.0,1.0,35.0,1005.0,130.0,165.0,0.8333333333333334,0.8333333333333334,60.0,-0.13,3.5553480614894135,6.912742820493176,4.867534450455582,4.0943445622221,5.10594547390058
2000-06-01,EP,12.5,-94.0,0.0,0.0,1.0,45.0,1000.0,107.0,152.0,0.8333333333333334,1.6666666666666667,65.0,-0.64,3.8066624897703196,6.907755278982137,4.672828834461906,4.174387269895637,5.0238805208462765
2001-07-01,EP,15.0,-108.4,0.0,0.0,1.0,40.0,1000.0,97.0,137.0,1.6666666666666667,0.8333333333333334,40.0,-0.08,3.6888794541139363,6.907755278982137,4.574710978503383,3.6888794541139363,4.919980925828125
2002-06-01,EP,11.8,-121.9,0.0,0.0,1.0,30.0,1007.0,97.0,127.0,0.0,0.0,30.0,0.65,3.4011973816621555,6.914730892718563,4.574710978503383,3.4011973816621555,4.844187086458591
2003-06-01,EP,13.9,-97.2,0.0,0.0,1.0,35.0,1003.0,125.0,160.0,0.8333333333333334,0.8333333333333334,55.0,-0.16,3.5553480614894135,6.910750787961936,4.8283137373023015,4.007333185232471,5.075173815233827
2004-07-01,EP,14.6,-105.5,0.0,0.0,1.0,45.0,997.0,105.0,150.0,0.8333333333333334,1.6666666666666667,55.0,0.47,3.8066624897703196,6.904750769961838,4.653960350157523,4.007333185232471,5.0106352940962555
2005-06-01,EP,12.7,-97.2,0.0,0.0,1.0,35.0,1003.0,126.0,161.0,0.0,1.6666666666666667,45.0,0.11,3.5553480614894135,6.910750787961936,4.836281906951478,3.8066624897703196,5.081404364984463
2006-07-01,EP,13.2,-110.3,0.0,0.0,1.0,50.0,998.0,102.0,152.0,1.6666666666666667,1.6666666666666667,85.0,0.1,3.912023005428146,6.905753276311464,4.624972813284271,4.442651256490317,5.0238805208462765
2008-06-01,EP,13.5,-122.0,0.0,0.0,1.0,30.0,1006.0,50.0,80.0,0.0,0.0,45.0,-0.61,3.4011973816621555,6.913737350659685,3.912023005428146,3.8066624897703196,4.382026634673881
2009-07-01,EP,16.7,-111.0,0.0,0.0,1.0,40.0,1000.0,82.0,122.0,0.8333333333333334,0.8333333333333334,45.0,0.45,3.6888794541139363,6.907755278982137,4.406719247264253,3.8066624897703196,4.804021044733257
2010-06-01,EP,14.9,-105.5,0.0,0.0,1.0,40.0,1001.0,89.0,129.0,0.8333333333333334,0.8333333333333334,40.0,-0.66,3.6888794541139363,6.90875477931522,4.48863636973214,3.6888794541139363,4.859812404361672
2011-07-01,EP,14.8,-101.4,0.0,0.0,1.0,35.0,1003.0,102.0,137.0,0.0,0.8333333333333334,70.0,-0.43,3.5553480614894135,6.910750787961936,4.624972813284271,4.248495242049359,4.919980925828125
